user_id;book_Id;rating
9999999;51113;5
9999999;51341638;5
9999999;111129;5
9999999;838729;5
9999999;2657;5
9999999;40876575;5
9999999;16171221;5
9999999;397503;5
9999999;27405160;5
9999999;100469;5
9999999;49088642;5
9999999;1132130;5
9999999;27208;5
9999999;18956;5
9999999;9876844;5
9999999;7126;5
9999999;5948474;5
9999999;2210309;5
9999999;45755173;5
9999999;8908;5
9999999;12406586;5
9999999;20170404;5
9999999;889284;5
9999999;37004370;5
9999999;32187419;5
9999999;33652490;5
9999999;5863774;5
9999999;41160292;5
9999999;36204378;5
9999999;163166;5
9999999;3247019;5
9999999;33375619;5
9999999;6101138;5
9999999;60211;5
9999999;7779571;5
9999999;37539457;5
9999999;4981;5
9999999;905;5
9999999;10873488;5
9999999;31443394;5
9999999;14497;5
9999999;34890015;5
9999999;2526;5
9999999;26046318;5
9999999;36885304;5
9999999;19063;5
9999999;21787;5
9999999;52036;5
9999999;36609308;5
9999999;41133765;5
9999999;42884;5
9999999;5129;5
9999999;4889214;5
9999999;20819685;5
9999999;35185844;5
9999999;9967908;5
9999999;6334;5
9999999;530965;5
9999999;164154;5
9999999;32863378;5
9999999;3808716;5
9999999;37508398;5
9999999;830502;5
9999999;168668;5
9999999;7624;5
9999999;34;5
9999999;77566;5
9999999;3977;5
9999999;11;5
9999999;70401;5
9999999;5107;5
9999999;54479;5
9999999;2956;5
9999999;10799;5
9999999;890;5
9999999;190999;5
9999999;17470674;5
9999999;54120408;4
9999999;24499258;4
9999999;44286534;4
9999999;44492285;4
9999999;29904194;4
9999999;52508868;4
9999999;52669505;4
9999999;52454426;4
9999999;15096164;4
9999999;42074525;4
9999999;6351800;4
9999999;17934474;4
9999999;37946437;4
9999999;69343;4
9999999;18176747;4
9999999;42743810;4
9999999;27220736;4
9999999;15888;4
9999999;156775;4
9999999;19161852;4
9999999;27396854;4
9999999;37976541;4
9999999;34051011;4
9999999;32758901;4
9999999;18144124;4
9999999;21806;4
9999999;38355098;4
9999999;29939057;4
9999999;112895;4
9999999;25527267;4
9999999;9969571;4
9999999;3979;4
9999999;46756;4
9999999;11804258;4
9999999;6690798;4
9999999;13453029;4
9999999;34928122;4
9999999;2429135;4
9999999;13538873;4
9999999;20518872;4
9999999;53301511;3
9999999;44146645;3
9999999;45754981;3
9999999;43798285;3
9999999;107291;3
9999999;28170940;3
9999999;11279;3
9999999;36124936;3
9999999;35503533;3
9999999;6288;3
9999999;13651;3
9999999;13497818;3
9999999;43561172;2
9999999;34496932;2
9999999;378639;1